2022-11-08T21:57:13.032748+0300 - DEBUG - Hello, World(debug)!
2022-11-08T22:04:15.813066+0300 - DEBUG - the program works perfectly!
2022-11-08T22:04:27.391034+0300 - DEBUG - the program works perfectly!
2022-11-08T22:37:14.331302+0300 - DEBUG - the program works perfectly!
2022-11-08T22:37:33.982166+0300 - DEBUG - "start" - the program works perfectly!
2022-11-08T22:39:17.687560+0300 - DEBUG - the program works perfectly!
2022-11-08T22:39:26.444030+0300 - DEBUG - "start" - the program works perfectly!
2022-11-08T22:43:40.327132+0300 - DEBUG - "start" - the program works perfectly!
2022-11-08T22:43:45.444386+0300 - DEBUG - 9
2022-11-08T22:43:51.560416+0300 - DEBUG - 9+
2022-11-08T22:43:52.354410+0300 - DEBUG - 9+3
2022-11-08T22:43:57.371421+0300 - DEBUG - 12
2022-11-08T22:44:07.136470+0300 - DEBUG - 12/
2022-11-08T22:44:08.256464+0300 - DEBUG - 12/1
2022-11-08T22:44:09.488680+0300 - DEBUG - 12/12
2022-11-08T22:44:10.604856+0300 - DEBUG - 1.0
2022-11-08T22:44:12.546304+0300 - DEBUG - 1.0/
2022-11-08T22:44:13.695933+0300 - DEBUG - 1.0/0
2022-11-08T22:44:16.793225+0300 - DEBUG - 
2022-11-08T22:46:57.004128+0300 - DEBUG - 
2022-11-08T22:50:18.795541+0300 - DEBUG - 9
2022-11-08T22:50:24.081597+0300 - DEBUG - 9/
2022-11-08T22:50:28.191469+0300 - DEBUG - 9/0
2022-11-08T22:50:30.433793+0300 - DEBUG - Не верный ввод пользователем
2022-11-08T22:50:30.570794+0300 - DEBUG - 
2022-11-08T22:50:35.858970+0300 - DEBUG - 
2022-11-08T22:52:58.162066+0300 - DEBUG - "start" - the program works perfectly!
2022-11-08T22:52:58.176014+0300 - DEBUG - 3
2022-11-08T22:53:05.341082+0300 - DEBUG - 39
2022-11-08T22:53:24.443338+0300 - DEBUG - 39/
2022-11-08T22:53:26.592704+0300 - DEBUG - 39/0
2022-11-08T22:53:27.241701+0300 - DEBUG - 39/0,
2022-11-08T22:53:27.893704+0300 - DEBUG - 39/0,3
2022-11-08T22:53:29.886701+0300 - DEBUG - Не верный ввод пользователем
2022-11-08T22:53:30.129704+0300 - DEBUG - 
2022-11-08T22:54:45.647742+0300 - DEBUG - "start" - the program works perfectly!
2022-11-08T22:54:58.537164+0300 - DEBUG - 3
2022-11-08T22:54:59.714786+0300 - DEBUG - 3/
2022-11-08T22:55:03.752412+0300 - DEBUG - 3/0
2022-11-08T22:55:04.306410+0300 - DEBUG - 3/0.
2022-11-08T22:55:04.880409+0300 - DEBUG - 3/0.3
2022-11-08T22:55:05.818414+0300 - DEBUG - Не верный ввод пользователем
2022-11-08T22:55:06.255416+0300 - DEBUG - 10.0
2022-11-08T22:55:19.752522+0300 - DEBUG - Сброс значения пользователем
2022-11-08T22:55:20.273516+0300 - DEBUG - 
2022-11-08T22:55:34.091590+0300 - DEBUG - 1
2022-11-08T22:55:34.772601+0300 - DEBUG - 10
2022-11-08T22:55:35.532596+0300 - DEBUG - 10/
2022-11-08T22:55:36.847277+0300 - DEBUG - 10/0
2022-11-08T22:55:37.236276+0300 - DEBUG - 10/0.
2022-11-08T22:55:41.148101+0300 - DEBUG - 10/0.5
2022-11-08T22:55:57.324597+0300 - DEBUG - Не верный ввод пользователем
2022-11-08T22:55:58.252595+0300 - DEBUG - 20.0
2022-11-08T23:00:02.915607+0300 - DEBUG - "start" - the program works perfectly!
2022-11-08T23:00:20.305495+0300 - DEBUG - 6
2022-11-08T23:00:24.251001+0300 - DEBUG - 6/
2022-11-08T23:00:25.626005+0300 - DEBUG - 6/0
2022-11-08T23:00:26.345002+0300 - DEBUG - 6/0.
2022-11-08T23:00:26.906621+0300 - DEBUG - 6/0.5
2022-11-08T23:00:28.520185+0300 - DEBUG - 12.0
2022-11-08T23:14:17.468408+0300 - DEBUG - "start" - the program works perfectly!
2022-11-08T23:14:30.414198+0300 - DEBUG - 9
2022-11-08T23:14:54.250927+0300 - DEBUG - 96
2022-11-08T23:14:55.640932+0300 - DEBUG - 96-9
2022-11-08T23:14:55.745930+0300 - DEBUG - 96-9
2022-11-08T23:14:56.967696+0300 - DEBUG - 87
2022-11-08T23:19:03.857993+0300 - DEBUG - "start" - the program works perfectly!
2022-11-08T23:19:11.880484+0300 - DEBUG - 9
2022-11-08T23:19:18.077179+0300 - DEBUG - 9*
2022-11-08T23:19:22.762430+0300 - DEBUG - 9*3
2022-11-08T23:19:23.405033+0300 - DEBUG - 27
2022-11-08T23:19:28.240713+0300 - DEBUG - 273
2022-11-08T23:19:29.624304+0300 - DEBUG - 273
2022-11-08T23:19:36.775092+0300 - DEBUG - 273+
2022-11-08T23:19:39.932438+0300 - DEBUG - Не верный ввод пользователем
2022-11-08T23:19:40.348442+0300 - DEBUG - 
2022-11-08T23:19:53.329425+0300 - DEBUG - 6
2022-11-08T23:19:58.435599+0300 - DEBUG - Сброс значения пользователем
2022-11-08T23:19:58.599592+0300 - DEBUG - 
2022-11-08T23:20:55.353643+0300 - DEBUG - "start" - the program works perfectly!
2022-11-08T23:20:55.359643+0300 - DEBUG - Не верный ввод пользователем
2022-11-08T23:21:07.766864+0300 - DEBUG - 3
2022-11-08T23:21:08.662899+0300 - DEBUG - 36
2022-11-08T23:21:12.069418+0300 - DEBUG - 36.
2022-11-08T23:21:12.752878+0300 - DEBUG - 36.3
2022-11-08T23:21:14.537121+0300 - DEBUG - 36.3-
2022-11-08T23:21:15.733118+0300 - DEBUG - 36.3-.
2022-11-08T23:21:16.352965+0300 - DEBUG - 36.3-.3
2022-11-08T23:21:18.586407+0300 - DEBUG - 36.3-.
2022-11-08T23:21:20.224974+0300 - DEBUG - 36.3-
2022-11-08T23:21:21.646340+0300 - DEBUG - 36.3-0
2022-11-08T23:21:22.236343+0300 - DEBUG - 36.3-0.
2022-11-08T23:21:26.703033+0300 - DEBUG - 36.3-0.3
2022-11-08T23:21:28.642286+0300 - DEBUG - 36.0
2022-11-08T23:21:34.981797+0300 - DEBUG - Не верный ввод пользователем
2022-11-08T23:34:14.709531+0300 - DEBUG - "start" - the program works perfectly!
